Date,A/C Type,Location,Fatalities,Registration,detail.url,Flight Phase,Circumstances
"Dec 20, 2018",Piper PA-46 Malibu Meridian (Malibu Mirage),"Ponte Vedra Beach, Florida",2,N307JM,http://www.baaa-acro.com/crash/crash-piper-pa-46-350p-malibu-ponte-vedra-beach-2-killed,Flight,"The single engine aircraft departed Kissimmee Airport at 0822LT on a flight to Princeton-Rocky Hill Airport, New Jersey. At 0901LT, while flying along the shore (east Florida coast) at an altitude of 22,000 feet, the airplane lost height and descended to 1,500 feet in two minutes while its speed dropped from 234 mph to just 60 mph. After it spiraled down, the airplane crashed into the Atlantic Ocean off Ponte Vedra Beach. SAR operations were dispatched but after a day, the aircraft and both occupants were still missing and presumed dead. "
"Dec 20, 2018",Antonov AN-26,"Kinshasa, Kinshasa City Province",7,9S-AGB,http://www.baaa-acro.com/crash/crash-antonov-26b-kinshasa-7-killed,Landing (descent or approach),"The crew was returning to Kinshasa after delivering election equipments and materials in Tshikapa on behalf of the Independent National Election Commission. The crew was cleared to descend to 5,000 feet on approach to runway 06 at Kinshasa-N'Djili Airport but encountered poor weather conditions with rain falls. In limited visibility, the airplane crashed on a hilly terrain located about 35 km west of the airport. The wreckage was found few hours later and all seven occupants were killed. "
"Dec 8, 2018",Britten-Norman Islander,"West Portal (Southwest National Park), Tasmania",1,VH-OBL,http://www.baaa-acro.com/crash/crash-britten-norman-bn-2a-20-islander-west-portal-1-killed,Flight,"The pilot departed Hobart Airport at 0748LT on a positioning flight to Bathurst Harbour, southwest Tasmania. En route, he encountered poor weather conditions and limited visibility when the airplane struck the slope of a mountain located in the Southwest National Park, some 32 km northeast of the intended destination. The wreckage was found few hours later in West Portal, about 100 meters below the summit. The pilot, sole on board, was killed. "
"Dec 6, 2018",Lockheed C-130 Hercules,"Pacific Ocean, All World",5,-,http://www.baaa-acro.com/crash/crash-lockheed-kc-130j-hercules-pacific-ocean-5-killed,Flight,"The crew departed Iwakuni Airport on a refuelling training mission over the Pacific Ocean. By night and in unknown circumstances, the four engine airplane collided with a McDonnell Douglas F/A-18 Hornet. Both aircraft went out of control and crashed into the ocean some 200 miles off Muroto Cape, Japan. The United States Marine Corps confirms that two Marines have been found. One is in fair condition and the other has been declared deceased by competent medical personnel. All five crew members from the Hercules are still missing after two days of SAR operations and presumed dead. "
"Nov 30, 2018",Cessna 525 CJ2,"Memphis, Indiana",3,N525EG,http://www.baaa-acro.com/crash/crash-cessna-525-citationjet-cj2-memphis-3-killed,Takeoff (climb),"Few minutes after its takeoff from Jeffersonville-Clark Airport, while in initial climb, the airplane went out of control, entered and dive and crashed in a wooded area located 2,5 miles southwest of Memphis, some 6,5 miles northwest of the airport. The aircraft disintegrated on impact and all three occupants were killed. "
"Nov 30, 2018",Cessna 550 Citation II,"Fargo-Hector, North Dakota",0,N941JM,http://www.baaa-acro.com/crash/crash-cessna-550-citation-ii-fargo,Landing (descent or approach),"On November 30, 2018, about 1353 central standard time, a Cessna 550, N941JM, departed controlled flight while on approach at the Hector International Airport (FAR), Fargo, North Dakota, and impacted the terrain to the right of the runway. The pilot and one passenger were not injured, and 9 passengers received minor injuries. The airplane sustained substantial damage. The airplane was registered to the Slice of the 406 LLC and operated by Dirt Dynamics, Inc. under the provisions of the Title 14 Code of Federal Regulations Part 91 as a business flight. Instrument meteorological conditions prevailed at the time of the accident and the flight was operating on an instrument flight plan. The flight departed from the Sloulin Field International Airport (ISN), Williston, North Dakota, about 1250 with FAR as the destination. The pilot reported that the airplane encountered a cloud layer that was about 2,500 ft thick while he was on the approach to FAR. He stated that there was ice buildup on the wing surfaces, but he activated the deice boots several times during the approach to runway 18 (9,001 ft by 150 ft, concrete) and the airplane's performance was normal. The airplane became clear of the clouds about 400 ft above the ground (agl) and it was right of centerline. He flew back onto the centerline maintaining 120 kts during the descent. About 100 ft agl, the airplane started ""pulling to the right."" He applied left aileron and left rudder, and advanced the throttle to go-around. The airplane continued to the right and impacted the terrain seconds later. A witness, who observed the accident from his office window which faced the approach threshold for runway 18, reported that he ""watched the airplane fall out of the sky."" He explained that he saw the wings slowly ""fluttering"" back and forth and recognized that the airplane was about to stall from an altitude of 130 to 140 ft agl. He said the airplane's nose pitched up and then the right wing went down. He could see the belly of the airplane and he estimated that the angle of bank was possibly 80°. The passenger, who was sitting in the right seat of the cockpit, reported that the airplane started to take on ice on the windshield and the deicing boot on the right wing while they were on the approach in the clouds. He reported that the approach was normal until they neared the ground when the tail started ""fish tailing."" He saw the pilot push the throttles forward; however, the left wing climbed and the airplane ""pulled hard to the right."" The airplane impacted the ground on its right wing and then impacted back on its belly. The initial examination of the airplane revealed that the right wing's outboard section was pushed up and aft. The nose wheel landing gear assembly was bent to the right, and the nose wheel trunnion assembly was broken in two pieces. The nose wheel assembly was separated from the fuselage with part of the trunnion attached to the wheel assembly. The left main landing gear was found folded into the gear wheel well, and the landing gear components were pushed upwards through the upper wing surface above the gear well. The examination of the wreckage revealed that there was about ½ inch of mixed ice on the leading edge of the right wing, vertical stabilizer, horizontal stabilizer, and on the angle of attack (AOA) indicator. At 1353, the surface weather observation at FAR was wind 200° at 10 kts; 5 miles visibility; mist; overcast ceiling at 400 ft; temperature -1° C; dew point -1° C; and an altimeter setting of 29.91 inches of mercury."
"Nov 26, 2018",Cessna 525 Citation M2,"Fazenda Fortaleza de Santa Terezinha (Várzea da Palma), Minas Gerais",4,PP-OEG,http://www.baaa-acro.com/crash/crash-cessna-525-citationjet-m2-fazenda-fortaleza-de-santa-terezinha-4-killed,Landing (descent or approach),"The twin engine airplane was completing a flight from Belo Horizonte to the Fortaleza de Santa Terezinha Farm (Fazenda Fortaleza de Santa Terezinha) located in Várzea da Palma, Jequitaí, Minas Gerais, carrying two passengers and two crew members. After landing on a private dirt airstrip, the airplane was unable to stop within the remaining distance and struck an embankment. It bounced, went out of control and crashed in flames in a prairie. The aircraft was totally destroyed by impact forces and a post crash fire and all four occupants were killed, among them Mr. Adolfo Geo, owner of the Brazilian group ARG Ltd active in food, oil and construction. He was accompanied by his wife Margarida Janete Geo."
"Nov 18, 2018",Cessna 441 Conquest,"Bismarck, North Dakota",3,N441CX,http://www.baaa-acro.com/crash/crash-cessna-441-conquest-ii-near-bismarck-3-killed,Flight,"The twin engine airplane departed Bismarck Airport in the evening on an ambulance flight to Williston, North Dakota, carrying a pilot, a paramedic and a nurse. Few minutes after takeoff, while cruising at an altitude of 14,000 feet by night, the airplane apparently broke up in mid-air, dove into the ground and crashed in an open field located about 15-20 miles northwest of Mandan, in the suburb of Bismarck. The aircraft was totally destroyed and debris were found on a wide area. All three occupants have been killed. "
"Nov 13, 2018",Cessna 340,"Ponoka-Labrie Field, Alberta",0,C-GMLS,http://www.baaa-acro.com/crash/crash-cessna-340a-ponoka,Landing (descent or approach),"On approach to Ponoka-Labrie Field, the pilot encountered technical problems with the autopilot and decided to make a go-around. While in the circuit pattern, the autopilot failed to disconnect properly so the pilot attempted an emergency landing in a field. The airplane belly landed then contacted trees. Upon impact, the tail was torn off and the aircraft came to rest. The pilot was seriously injured. "
"Nov 12, 2018",Rockwell Gulfstream 690C Jetprop 840,"Myrtle Beach, South Carolina",0,N840JC,http://www.baaa-acro.com/crash/crash-gulfstream-690c-jetprop-840-myrtle-beach,Landing (descent or approach),"On final approach to runway 36 at Myrtle Beach Airport, the twin engine airplane crashed into the Atlantic Ocean and came to rest partly submerged by the beach. The pilot, sole on board, was seriously injured and the aircraft was destroyed. "
"Nov 9, 2018",Lockheed C-130 Hercules,"Chaklala-Nur Khan AFB (Islamabad), Islamabad Capital Territory (وفاقی دارالحکومت)",0,4180,http://www.baaa-acro.com/crash/crash-lockheed-c-130e-hercules-chaklala-nur-khan-afb,Landing (descent or approach),"The crew was completing a local training flight at Chaklala-Nur Khan AFB in Islamabad. Upon touchdown, a tyre burst and the airplane went out of control. It veered off runway to the right and collided with a concrete wall before coming to rest in flames. All nine occupants escaped uninjured while the aircraft was destroyed by a post crash fire. It is believed that the landing was hard. "
"Nov 9, 2018",Boeing 757-200,"Georgetown-Cheddi Jagan, Demerara-Mahaica",1,N524AT,http://www.baaa-acro.com/crash/crash-boeing-757-23n-georgetown-1-killed,Landing (descent or approach),"The airplane departed Georgetown-Cheddi Jagan Airport at 0209LT on an international schedule flight to Toronto-Lester Bowles Pearson Airport, carrying 120 passengers (118 adults and two children) and 8 crew members. At 0222LT, while climbing to 21,000 feet, the crew encountered technical problems with the hydraulic systems and was cleared to return. The captain made a 180 turn and followed a circuit and a holding pattern until he started the final approach to runway 06. After touchdown, the crew started the braking procedure but the airplane was apparently unable to stop within the remaining distance. Approaching the end of the runway, the aircraft veered to the right, lost its right main gear and came to rest in a sandy area with the right engine torn off and the right wing severely damaged. All 128 occupants evacuated and six of them were slightly injured. The aircraft was damaged beyond repair. A week after the accident, a 86 year old woman died from her injuries (fractured skull)."
"Nov 8, 2018",PZL-Mielec AN-2,"Arkhangelsk, Arkhangelsk oblast",0,RA-84674,http://www.baaa-acro.com/crash/crash-pzl-mielec-2r-near-arkhangelsk,Flight,"En route from Arkhangelsk to Mezen, the crew encountered various problems and elected to make an emergency landing. The airplane struck trees and eventually crashed in a wooded area located about 50 km northeast of Arkhangelsk. All 13 occupants were rescued, two of them were injured. The aircraft was destroyed. It is believed that the crew encountered icing conditions. "
"Nov 7, 2018",Boeing 747-400,"Halifax-Stanfield, Nova Scotia",0,N908AR,http://www.baaa-acro.com/crash/crash-boeing-747-412f-halifax,Landing (descent or approach),"The airplane was completing a flight from Chicago-O'Hare to Halifax with no passengers nor any cargo on board. There was a strong westerly wind gusting at 18 knots, which would be approximately 33 mph. It was raining at the time of the occurrence. In more technical terms, according to METAR issued 7 minutes before arrival, the winds were 250 degrees, 11 gusting 18 knots. The ceiling was 1,200 feet above ground and visibility was 8 miles. After touchdown on runway 14 (7,700 feet/2,347 meters), the aircraft was unable to stop within the remaining distance and overran. It struck a localizer antenna during the overrun and lost its undercarriage as well as both engines n°2 & 3 before coming to rest 695 feet (210 meters) past the runway end. A small post-impact fire originated from the detached n°2 engine which was lodged under the tail of the aircraft and the fuselage was bent just after the wings. All four crew members suffered minor injuries."
