Date,A/C Type,Location,Fatalities,Registration,detail.url,Flight Phase,Circumstances,Flight Type,Site,Probable cause
"Oct 29, 2018",Boeing 737 MAX 8,"Jakarta, City District of Jakarta",189,PK-LQP,http://www.baaa-acro.com/crash/crash-boeing-737-max-8-jakarta-189-killed,Takeoff (climb),"The aircraft departed runway 25L at Jakarta-Soekarno-Hatta Airport at 0621LT bound for Pangkal Pinang, carrying 181 passengers and 8 crew members. The crew was cleared to climb but apparently encountered technical problems and was unable to reach a higher altitude than 5,375 feet. At this time, the flight shows erratic speed and altitude values. The pilot declared an emergency and elected to return to Jakarta when control was lost while at an altitude of 3,650 feet and at a speed of 345 knots. The airplane entered a dive and crashed 12 minutes after takeoff into the Kerawang Sea, about 63 km northeast from its departure point. The airplane disintegrated on impact and few debris were already recovered but unfortunately no survivors. It has been reported that the aircraft suffered various technical issues during the previous flight on Sunday night but was released for service on Monday morning. Brand new, the airplane was delivered to Lion Air last August 18. At the time of the accident, weather conditions were considered as good. The Cockpit Voice Recorder (CVR) was found on 14 January 2019. In the initial stages of the investigation, it was found that there is a potential for repeated automatic nose down trim commands of the horizontal stabilizer when the flight control system on a Boeing 737 MAX aircraft receives an erroneously high single AOA sensor input. Such a specific condition could among others potentially result in the stick shaker activating on the affected side and IAS, ALT and/or AOA DISAGREE alerts. The logic behind the automatic nose down trim lies in the aircraft's MCAS (Maneuvering Characteristics Augmentation System) that was introduced by Boeing on the MAX series aircraft. This feature was added to prevent the aircraft from entering a stall under specific conditions. On November 6, 2018, Boeing issued an Operations Manual Bulletin (OMB) directing operators to existing flight crew procedures to address circumstances where there is erroneous input from an AOA sensor. On November 7, the FAA issued an emergency Airworthiness Directive requiring ""revising certificate limitations and operating procedures of the airplane flight manual (AFM) to provide the flight crew with runaway horizontal stabilizer trim procedures to follow under certain conditions.",Scheduled Revenue Flight,"Lake, Sea, Ocean, River",
"Oct 28, 2018",Cessna 340,"Santa Cruz, Santa Cruz",0,N5224J,http://www.baaa-acro.com/crash/crash-cessna-340a-santa-cruz,Takeoff (climb),"The twin engine airplane was engaged in a humanitarian flight from Bolivia to Brazil, carrying one passenger and a pilot. Shortly after takeoff from a little private airstrip located in the suburb of Santa Cruz, the crew was supposed to land at Santa Cruz-Viru Viru International Airport before continuing to Manaus, Brazil. After takeoff, the crew encountered engine problems (power issue) and decided to return for an emergency landing when the airplane struck trees and belly landed in a grassy area located in Barrio Lindo. Both occupants were uninjured while the aircraft was damaged beyond repair. ",Humanitarian,Plain,
"Oct 25, 2018",Piper PA-31 Cheyenne,"Atlantic Ocean, All World",5,N555PM,http://www.baaa-acro.com/crash/crash-piper-pa-31t-cheyenne-atlantic-ocean-5-killed,Flight,"On October 25, 2018, at about 1119 eastern daylight time, and about 100 miles southeast of Charleston, South Carolina (CHS), radar contact was lost with a Piper PA-31T, N555PM. The airplane was presumed to have impacted the Atlantic Ocean. The commercial pilot and four passengers were not found and presumed fatally injured. Day visual meteorological conditions prevailed, and an instrument flight rules flight plan was filed for the flight, which departed from a private airport in Andrews, South Carolina about 1047, bound for Governor's Harbor airport, Bahamas (MYEM). The personal flight was conducted under the provisions of Title 14 Code of Federal Regulations Part 91. The pilot's family reported that the airplane departed from its home base, a private runway in Andrews, South Carolina. Preliminary radar and air traffic control data from the Federal Aviation Administration (FAA) showed the airplane departed the area toward the southeast about, 1047. The airplane crossed over the coastline and began a climb to an assigned altitude of 25,000 feet. The climb rate was consistent at 500 feet per minute (fpm), and the airplane remained on course flying toward the assigned airspace fix, named LURKS. When the airplane was about 12 miles from LURKS (about 95 miles southeast of CHS), while climbing through 24,300 feet, the pilot made a garbled radio transmission indicating that he was diverting to CHS. The airplane began a descent at about 1,000 fpm and maintained a course towards LURKS. About 23 seconds later, after several air traffic control requests to repeat the radio transmission, the pilot replied, ""we're descending"". About 15 seconds later, at an altitude of about 23,500 feet, the airplane turned sharply toward the left, and the descent rate increased to greater than 4,000 fpm. About 25 seconds later, the radar data altitude parameter went invalid, the last reported altitude was 21,500 feet. About 35 seconds later, the pilot transmitted ""emergency emergency, five five five papa mike"", and no further transmissions were recorded. About 25 seconds later, the last radar position (32.3184N 78.0661W) was recorded at 1119, which was about 3 miles to the left (northeast) of the airplane's original course towards LURKS. That position corresponded to a location about 100 nautical miles east southeast of CHS. The FAA issued an Alert Notice (ALNOT) and a search effort was conducted by the U.S. Coast Guard. One of the search airplanes reported an oil sheen on the surface of the water near the last known coordinates; however, neither the airplane nor debris were located. The search effort was cancelled on October 27 at sunset. A review of the airplane maintenance logbooks revealed that the most recent annual inspection was performed on September 5, 2018, and at that time the airframe had accrued a total of 7,718 hours. That inspection included routine maintenance, the replacement of the starter generators on both engines, replacement of the cabin oxygen bottle, and compliance with several airworthiness directive inspections, including AD 2017-02-06, which addresses a potential issue with electrical wiring arcing and fire risk. According to FAA airman records the pilot held a private pilot certificate with ratings for airplane single and multi-engine land, rotorcraft-helicopter, and instrument airplane. His most recent medical certificate was issued on March 8, 2018, at which time he reported a total of 2,778 hours of total flight experience. A preliminary review of weather records revealed that there were no convective or precipitation echoes in the area at the time of the accident. Satellite imagery depicted a mid-level layer of clouds in the area with tops estimated at 15,500 feet. An Airmen's Meteorological Information advisory for moderate turbulence was in effect for the region. Atmospheric model results characterized the atmosphere as stable, with a freezing level around 13,000 feet and a shallow layer favorable for light rime icing at 23,000 feet. ",Private,"Lake, Sea, Ocean, River",
"Oct 21, 2018",Piper PA-46 Malibu Meridian (Malibu Mirage),"Hurricane, Utah",0,N413LL,http://www.baaa-acro.com/crash/crash-piper-pa-46-350p-malibu-mirage-hurricane,Flight,"En route to Salt Lake City, the single engine aircraft caught fire in flight, forcing the pilot to attempt an emergency landing. Just prior to land in an open field, the airplane struck a metal irrigation pipe that torn off the right wing. The airplane slid on the ground for several yards before coming to rest in flames. All six occupants evacuated safely and were uninjured while the aircraft was partially destroyed. The pilot reported that he experienced an electrical issue that started an in-flight fire. ",Private,Plain,
"Oct 3, 2018",Antonov AN-26,"Khartoum, Khartoum (الخرطوم)",0,7706,http://www.baaa-acro.com/crash/crash-antonov-26-khartoum,Landing (descent or approach),"The airplane was apparently engaged in an exercise with a second Sudanese Air Force Antonov AN-32. After touchdown on runway 18, the crew started the braking procedure when the airplane was struck by the AN-32 from behind. After collision, both airplanes went out of control and came to rest by the runway edge. There were no casualties while both aircraft are destroyed. It appears that the AN-32 landed shortly after the AN-26 and was unable to stop in a timely manner. The registration 7706 is not confirmed yet.",Military,Airport (less than 10 km from airport),
"Oct 3, 2018",Antonov AN-32,"Khartoum, Khartoum (الخرطوم)",0,-,http://www.baaa-acro.com/crash/crash-antonov-32-khartoum,Landing (descent or approach),"The airplane was apparently engaged in an exercise with a second Sudanese Air Force Antonov AN-26. In unclear circumstances, the crew was cleared to land on runway 18 where another Sudanese Air Force AN-26 just landed few seconds earlier. The AN-32 was unable to stop in a timely manner and struck the tail of the AN-26. After collision, both airplanes went out of control and came to rest by the runway edge. There were no casualties while both aircraft are destroyed.",Military,Airport (less than 10 km from airport),
"Sep 28, 2018",Boeing 737-800,"Weno Island, Chuuk Island",1,P2-PXE,http://www.baaa-acro.com/crash/crash-boeing-737-8bk-weno-island-1-killed,Landing (descent or approach),"The airplane was completing a flight from Kolonia (Pohnpei Island) to Port Moresby with an intermediate stop at Weno Island Airport. The descent to Weno Island Airport (Chuuk Islands) was initiated in poor weather conditions with limited visibility, CB's down to 800 feet and rain falls. On final approach to runway 04, the crew failed to realize his altitude was too low when the airplane struck the water surface and crashed into the sea few hundred yards short of runway. Fishermen were able to intervene quickly and all 47 occupants were evacuated, eight of them were injured, four seriously. The airplane remained partially submerged and the fuselage broke in the middle section. On October 1st, the body of a reported missing passenger was found. The exact circumstances of the accident is still unclear as some reports states that the aircraft landed on runway 04 but was unable to stop within the remaining distance, overran and eventually crashed into the sea some 150 meters past the runway end. Development will follow.  ",Scheduled Revenue Flight,"Lake, Sea, Ocean, River",
"Sep 27, 2018",Dassault Falcon 50,"Greenville-Downtown, South Carolina",2,N114TD,http://www.baaa-acro.com/crash/crash-dassault-falcon-50-greenville-2-killed,Landing (descent or approach),"On September 27, 2018, about 1346 eastern daylight time, a Dassault Falcon 50 business jet, N114TD, operated by Air American Flight Services, Inc., was substantially damaged when it overran the departure end of runway 19 at Greenville Downtown Airport (GMU), Greenville, South Carolina. The airline transport pilot (ATP) seated in the left cockpit seat and private pilot seated in the right cockpit seat were fatally injured, and the two passengers received serious injuries. Visual meteorological conditions prevailed, and an instrument flight  rules flight plan was filed for the flight that departed St. Pete-Clearwater International Airport (PIE), St. Petersburg-Clearwater, Florida, destined for GMU. The personal flight was conducted under the provisions of Title 14 Code of Federal Regulations Part 91. Air traffic control personnel at GMU reported that the airplane touched down ""normally"" at a normal touchdown point on runway. They saw the airplane's sole thrust reverser on the center (No. 2) engine deploy; the controllers then watched as the airplane ""did not decelerate"" as it continued down the runway. An airport security video captured the airplane's touchdown and confirmed that the No. 2 thrust reverser and the airbrakes were deployed. The video also showed the airplane as it continued down to the end of the runway and then went over an embankment. First responders reported that all three engines were operating at full power for at least 20 minutes after the accident with, one engine running until about 40 minutes after the accident. Initial examination of the accident site, runway, and tire track evidence showed that the airplane departed the left edge of runway 19 near the departure end, traveled across the flat grassy area at the end of the runway, continued down a 50-foot embankment, and came to rest on the airport perimeter road about 425 feet from the runway. The wreckage was oriented on a heading of about 160°. There was no fire. Fuel was observed leaking from the wings at the accident site. The nose landing gear was separated and found about midway down the embankment. The fuselage was separated immediately aft of the cockpit area, near fuselage station 14. The slats and flaps were extended. Both the right and left airbrakes (spoilers) were extended. Both main landing gear were fractured  at the trunnion and displaced aft into the flaps. The braking anti-skid switch was in the No. 1 position, and there was an ""INOP"" (inoperative) placard next to the switch, dated the day  of the accident. The Nos. 2 and 3 fire handles were pulled. The parking brake was in the normal (off) position. The left seat pilot held an ATP certificate with a type rating for the Falcon 50 with a limitation for second-in-command only. He also held type ratings for Learjet and Westwind business jets. He held a Federal Aviation Administration (FAA) first-class medical certificate issued on August 7, 2108; at that time, he reported 11,650 total hours of flight experience. The right seat pilot held a private pilot certificate with ratings for airplane single and multiengine land. He did not hold an instrument rating. He held a FAA second-class medical certificate issued on March 27, 2017,and on that date, he reported 5,500 total hours of flight experience. At 1353, the recorded weather at GMU included wind from 210° at 6 knots, 10 statute miles visibility, temperature 27°C, dew point 22°C, and a barometric altimeter setting of 30.02 inches of mercury. The airplane was retained for further examination. A preliminary report is available here below. ",Private,Airport (less than 10 km from airport),
"Sep 27, 2018",Cessna 208B Grand Caravan,"Pacific Ocean, All World",1,VH-FAY,http://www.baaa-acro.com/crash/crash-cessna-208b-supervan-900-pacific-ocean-1-killed,Flight,"The pilot, sole on board, was in charge to convoy the airplane from Saipan Island, in the Pacific, to the New Chitose Airport in Sapporo. The single engine airplane departed Saipan Airport at 0700 (Japan Time) on a nine hours flight. A first check was made with Japan ATC at 1023 and the next fixpoint was scheduled at 1144. ATC tried several times to establish a radio contact with the pilot but this was not possible. As the airplane was following its track, the decision was taken to send two F-4 of the Japan-Self Defense Force. At 1450, a visual contact was established with the Cessna but unfortunately, both military crew were unable to establish a radio contact with the pilot. Few minutes later, the single engine airplane went into clouds when control was lost. It crashed at 1528 into the Pacific Ocean some 120 km east of Sendai. Some debris were spotted floating on water at 1723 and no trace of the pilot, a Norwegian citizen. It was later considered that he died in the accident. The airplane, built in 2001, was converted for geophysical missions with a new 900 hp engine and other special equipments. ",Ferry,"Lake, Sea, Ocean, River",
"Sep 25, 2018",Beechcraft 200 Super King Air,"Oscoda-Wurtsmith, Michigan",1,N241CK,http://www.baaa-acro.com/crash/crash-beechcraft-200-super-king-air-oscoda-1-killed,Landing (descent or approach),"The pilot, sole on board, was completing a ferry flight from Detroit-Willow Run (Ypsilanti) Airport to Oscoda-Wurtsmith, Michigan. While approaching by night, he lost control of the airplane that crashed in flames in a wooded area located about 4 miles short of runway 06 threshold. The aircraft was destroyed by impact forces and a post crash fire and the pilot was killed. ",Ferry,Airport (less than 10 km from airport),
"Sep 17, 2018",Ilyushin II-20,"Latakia, Latakia Governorate (مُحافظة اللاذقية‎)",15,RF-93610,http://www.baaa-acro.com/crash/crash-ilyushin-ii-20m-latakia-15-killed,Flight,"The four engine aircraft departed Hmeimim AFB located southeast of Latakia at 2031LT on a maritime patrol flight and reconnaissance mission over the Mediterranean Sea. More than one hour and a half later, while returning to its base, the airplane was hit by a S-200 surface-to-air missile shot by the Syrian ground forces. At the time of the accident, four Israel F-16 fighters were involved in a ground attack onto several infrastructures located in the region of Latakia. Out of control, the airplane crashed into the Mediterranean Sea some 35 km west of Latakia. In the next morning, Russian authorities confirmed the loss of the aircraft that was inadvertently shot down by the Syrian Army forces and the fact that all 15 crew members have been killed. ",Survey / Patrol / Reconnaissance,"Lake, Sea, Ocean, River",Shot down by Syrian S-200 surface-to-air missile. 
"Sep 15, 2018",Beechcraft 90 King Air,"Ipumirim, Santa Catarina",1,PR-RFB,http://www.baaa-acro.com/crash/crash-beechcraft-c90b-king-air-ipumirim-1-killed,Flight,"En route from Florianópolis to Chapecó, the twin engine aircraft went out of control and crashed in unknown circumstances in a wooded area located in Ipumirim, some 50 km east of Chapecó Airport. The aircraft was destroyed by impact forces and a post crash fire and the pilot, sole occupant, was killed. ",Executive,Plain,
"Sep 9, 2018",Let 410UVP,"Yirol, Lakes (البحيرات)",20,UR-TWO,http://www.baaa-acro.com/crash/crash-let-410uvp-yirol-20-killed,Landing (descent or approach),"On approach to Yiral Airport in limited visibility due to mist, the crew lost control of the airplane that crashed into the Yirol Lake, about 2 km north of the airfield. The aircraft was destroyed upon impact and four occupants were rescued while 19 others were killed. A day later, one of the survivor died from his injuries. The three survivors are two children and a Italian doctor. The flight was completed on behalf of the Slaver Company based in Ukraine. ",Scheduled Revenue Flight,"Lake, Sea, Ocean, River",
"Sep 6, 2018",Cessna 340,"Kimball, Michigan",1,C-GLKX,http://www.baaa-acro.com/crash/crash-cessna-340a-kimball-1-killed,Landing (descent or approach),"While approaching Saint Clair County Airport by night, the pilot encountered engine problems. The airplane lost height and crashed in an open field located in Kimball, north of the airfield. The aircraft was destroyed and the pilot, sole on board, was killed. ",Positioning,Airport (less than 10 km from airport),
"Sep 1, 2018",Boeing 737-800,"Sochi-Adler, Krasnodar Krai",0,VQ-BJI,http://www.baaa-acro.com/crash/crash-boeing-737-8as-sochi,Landing (descent or approach),"Following an uneventful flight from Moscow-Vnukovo Airport, the crew started the descent to Sochi-Adler Airport by night and marginal weather conditions. On final to runway 02, at an altitude of 2,300 feet, the crew initiated a go-around after being informed about weather and wind component change. He started a second approach to runway 06 but again, once the altitude of 400 feet was reached on descent, the wind component changed again and the captain decided to make a second go-around manoeuvre. Eleven minutes later, following a third approach (second approach to runway 06), the aircraft landed on runway 06 but was unable to stop within the remaining distance. It overran, went through a perimeter fence and down an embankment. It lost its undercarriage and came to rest in a dry and rocky zone of the Reka Mzymta River. All 170 occupants were evacuated, 18 of them were injured, eight seriously. The aircraft was written off. At the time of the accident, weather conditions were difficult with the presence of a thunderstorm with CB's, low clouds, limited visibility, rain showers and a wind from 060 at 4 knots. ",Scheduled Revenue Flight,Airport (less than 10 km from airport),
"Aug 30, 2018",Beechcraft 60 Duke,"Destin-Executive, Florida",4,N1876L,http://www.baaa-acro.com/crash/crash-beechcraft-60-duke-destin-4-killed,Landing (descent or approach),"While approaching runway 14 at Destin-Executive Airport, the twin engine aircraft struck tree tops and crashed in a wooded area located northwest of the airfield. The airplane was destroyed and all four occupants have been killed. ",Private,Airport (less than 10 km from airport),
